method,mean_accuracy_percent,average_rank,evidence_status
MiniROCKET-10K,81.81,2.67,MANUSCRIPT_SNAPSHOT_UNVERIFIED
ROCKET-10K,80.20,3.00,MANUSCRIPT_SNAPSHOT_UNVERIFIED
ASTRAL,80.35,4.00,MANUSCRIPT_SNAPSHOT_UNVERIFIED
TS2Vec,80.12,4.33,MANUSCRIPT_SNAPSHOT_UNVERIFIED
ASTRAL-D,77.43,5.67,MANUSCRIPT_SNAPSHOT_UNVERIFIED
Raw-LR,70.35,5.83,MANUSCRIPT_SNAPSHOT_UNVERIFIED
ASTRAL-K,73.48,6.33,MANUSCRIPT_SNAPSHOT_UNVERIFIED
ASTRAL-N,76.12,7.33,MANUSCRIPT_SNAPSHOT_UNVERIFIED
Random-ASTRAL-N,74.52,7.78,MANUSCRIPT_SNAPSHOT_UNVERIFIED
1NN-DTW,73.05,8.06,MANUSCRIPT_SNAPSHOT_UNVERIFIED

