dataset,method,seed,correct,test_count,accuracy,macro_f1,elapsed_seconds,evidence_status
ItalyPowerDemand,MultiROCKET-10K,0,996,1029,0.967930029154519,,0,MANUSCRIPT_SNAPSHOT_UNVERIFIED
GunPoint,MultiROCKET-10K,0,150,150,1.0,,0,MANUSCRIPT_SNAPSHOT_UNVERIFIED
ArrowHead,MultiROCKET-10K,0,152,175,0.868571428571429,,0,MANUSCRIPT_SNAPSHOT_UNVERIFIED
BasicMotions,MultiROCKET-10K,0,40,40,1.0,,0,MANUSCRIPT_SNAPSHOT_UNVERIFIED
ECG200,MultiROCKET-10K,0,92,100,0.92,,0,MANUSCRIPT_SNAPSHOT_UNVERIFIED
Coffee,MultiROCKET-10K,0,28,28,1.0,,0,MANUSCRIPT_SNAPSHOT_UNVERIFIED
Epilepsy,MultiROCKET-10K,0,138,138,1.0,,0,MANUSCRIPT_SNAPSHOT_UNVERIFIED
AtrialFibrillation,MultiROCKET-10K,0,3,15,0.2,,0,MANUSCRIPT_SNAPSHOT_UNVERIFIED
StandWalkJump,MultiROCKET-10K,0,8,15,0.533333333333333,,0,MANUSCRIPT_SNAPSHOT_UNVERIFIED

